id,date,type,city,state,ideology,group,description,image
96,11/2016,Anti-Semitic Incident:Harassment,Asheville,NC,,,A high school student was tagged in an Instagram post that included pictures of Hitler and anti-Semitic comments.,
115,11/2016,Anti-Semitic Incident:Harassment,Atlanta,GA,,,Facebook user received an anti-Semitic comment in response to a posted comment.,
118,11/2016,Anti-Semitic Incident:Harassment,Los Angeles,CA,,,"Woman was in her car when another driver rolled down their window and called out to her ""Jewish bitch.""",
119,11/2016,Anti-Semitic Incident:Vandalism,Atlanta,GA,,,Swastika drawn in school bathroom.,
136,11/2016,Anti-Semitic Incident:Harassment,Los Angeles,CA,,,"Individual called a ""cracker,"" ""a traitor to the Jewish people,"" and ""kike.""",
139,11/2016,Anti-Semitic Incident:Vandalism,Auburn,NH,,,School bench vandalized with swastikas and other vulgar drawings.,
151,11/2016,Anti-Semitic Incident:Harassment,Austin,TX,,,High school student victim of anti-Semitic harassment at school.,
152,11/2016,Anti-Semitic Incident:Harassment,Austin,TX,,,Individual received an anti-Semitic postcard to their home.,
154,11/2016,Anti-Semitic Incident:Vandalism,Austin,TX,,,A swastika was drawn on a commercial property owned by a Jewish man.,
181,11/2016,Anti-Semitic Incident:Harassment,Aventura,FL,,,Synagogue received bulk hate mail.,
244,11/2016,Anti-Semitic Incident:Vandalism,Oakland,CA,,,"""Fuck Jewz [sic]"" and swastika graffiti found in parking lot.",
255,11/2016,Anti-Semitic Incident:Harassment,Bloomfield Hills,MI,,,Non-Jewish student verbally threatened and harassed Jewish student.,
256,11/2016,Anti-Semitic Incident:Harassment,Bloomfield Hills,MI,,,Student made anti-Semitic comments to Jewish student.,
257,11/2016,Anti-Semitic Incident:Vandalism,Bloomfield Hills,MI,,,Etching of swastika discovered on school property.,
273,11/2016,Anti-Semitic Incident:Harassment,Boca Raton,FL,,,Individual received harassing letter among newspaper clippings with anti-Semitic remarks.,
291,11/2016,Anti-Semitic Incident:Harassment,Boston,MA,,,"Journalist victim of anti-Semitic harassment including messages that read ""kike"" and ""shitty fucking Jew.""",
310,11/2016,Anti-Semitic Incident:Vandalism,Boulder,CO,,,Synagogue vandalized.,
318,11/2016,Anti-Semitic Incident:Harassment,Boynton Beach,FL,,,Synagogue received bulk hate mail.,
332,11/2016,Anti-Semitic Incident:Vandalism,Brighton,MA,,,Jewish institution vandalized with anti-Semitic graffiti.,
338,11/2016,Anti-Semitic Incident:Vandalism,Harvard,MA,,,Confidential,
