state_fips,countyfips,Geographic Name,Geographic Subtype,Total Vote,Barack H. Obama,Willard Mitt Romney,0,Gary Johnson,Jill Stein,Virgil H. Goode, Jr.,James Harris,Stewart Alexander,Peta Lindsay,Write-ins,Ross C. 'Rocky' Anderson,Thomas Hoefling,Roseanne Barr,None of these Candidates,Jim Carlson,Dean Morstad,Merlin Miller,Lowell 'Jack' Fellure,Thomas R. Stevens,Jerry White,Andre Barnett,Randall Terry,Jill Ann Reed,Jerry Litzel,Sheila Tittle,Richard Duncan,Jeff Boss,Barbara Dale Washer,Chuck Baldwin,Will Christensen
state_fips,countyfips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22,vote23,vote24,vote25,vote26,vote27,vote28,vote29,vote30,
1,119,Sumter,County,7030,5421,1586,0,18,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,121,Talladega,County,33416,13905,19246,0,127,44,51,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,123,Tallapoosa,County,18851,6319,12396,0,69,25,20,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,125,Tuscaloosa,County,78772,32048,45748,0,553,130,111,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,127,Walker,County,28585,6557,21651,0,165,69,79,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,129,Washington,County,8787,2976,5761,0,22,9,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,131,Wilcox,County,6555,4868,1679,0,2,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,133,Winston,County,9728,1286,8312,0,57,25,34,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,1,Apache,County,25917,17147,8250,0,354,88,9,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,3,Cochise,County,49201,18546,29497,0,728,215,12,0,0,0,199,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,
4,5,Coconino,County,51962,29257,21220,0,941,301,6,0,0,0,231,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,7,Gila,County,21595,7697,13455,0,310,64,1,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
4,9,Graham,County,11905,3609,8076,0,142,28,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,11,Greenlee,County,2986,1310,1592,0,61,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,12,La Paz,County,5735,1880,3714,0,99,24,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,13,Maricopa,County,1380959,602288,749885,0,20071,4091,154,0,0,0,4403,54,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,
4,15,Mohave,County,70328,19533,49168,0,1070,224,4,0,0,0,318,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,6,
4,17,Navajo,County,37465,16945,19884,0,399,99,6,0,0,0,130,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,19,Pima,County,383173,201251,174779,0,4366,1758,46,0,0,0,925,41,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,
4,21,Pinal,County,108682,44306,62079,0,1568,325,36,0,0,0,367,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,23,Santa Cruz,County,13911,9486,4235,0,108,65,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,25,Yavapai,County,100667,33918,64468,0,1450,417,12,0,0,0,386,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,
4,27,Yuma,County,42073,18059,23352,0,433,106,3,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Arkansas,County,6494,2455,3897,0,92,45,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,3,Ashley,County,7921,2859,4867,0,105,59,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,5,Baxter,County,19339,5172,13688,0,293,177,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,7,Benton,County,79257,22636,54646,0,1402,499,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,9,Boone,County,15391,3772,11159,0,263,163,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,11,Bradley,County,3652,1449,2134,0,32,22,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,13,Calhoun,County,2174,660,1458,0,33,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,15,Carroll,County,10183,3696,6125,0,222,134,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,17,Chicot,County,4361,2649,1670,0,25,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,19,Clark,County,8409,3811,4343,0,141,104,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,21,Clay,County,5110,1738,3225,0,99,38,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,23,Cleburne,County,11647,2620,8693,0,196,106,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,25,Cleveland,County,3266,845,2313,0,52,45,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
