date,placename,state,state_fips,countyname,countyfips,venue,attendance
09dec2016,Baton Rouge,Louisiana,22,East Baton Rouge Parish,33,"Dow Chemical Hangar, Baton Rouge Metropolitan Airport",
13dec2016,West Allis,Wisconsin,55,Milwaukee,79,"Wisconsin Exposition Center, Wisconsin State Fair Park",
15dec2016,Hershey,Pennsylvania,42,Dauphin,43,Giant Center,
16dec2016,Orlando,Florida,12,Orange,95,Central Florida Fairgrounds,
17dec2016,Mobile,Alabama,1,Mobile,97,Ladd–Peebles Stadium,
18feb2017,Melbourne,Florida,12,Brevard,9,Orlando Melbourne International Airport,
15mar2017,Nashville,Tennessee,47,Davidson,37,Nashville Municipal Auditorium,
20mar2017,Louisville,Kentucky,21,Jefferson,111,Kentucky Exposition Center,
29apr2017,Harrisburg,Pennsylvania,42,Dauphin,43,Pennsylvania Farm Show Complex & Expo Center,
21jun2017,Cedar Rapids,Iowa,19,Linn,113,U.S. Cellular Center,
25jul2017,Youngstown,Ohio,39,Mahoning,99,Covelli Centre,
03aug2017,Huntington,West Virginia,54,Cabell,11,Big Sandy Superstore Arena,
22aug2017,Phoenix,Arizona,4,Maricopa,13,Phoenix Convention Center,
22sep2017,Huntsville,Alabama,1,Madison,89,Von Braun Center,
08dec2017,Pensacola,Florida,12,Escambia,33,Pensacola Bay Center,
10mar2018,Moon Township,Pennsylvania,42,Allegheny,3,Pittsburgh International Airport,
28apr2018,Washington Township,Michigan,26,Macomb,99,Total Sports Park,
10may2018,Elkhart,Indiana,18,Elkhart,39,North Side Middle School,
29may2018,Nashville,Tennessee,47,Davidson,37,Nashville Municipal Auditorium,
20jun2018,Duluth,Minnesota,27,St. Louis,137,AMSOIL Arena,
23jun2018,Las Vegas,Nevada,32,Clark,3,Nevada Republican Convention,
25jun2018,West Columbia,South Carolina,45,Lexington,63,Airport High School,
27jun2018,Fargo,North Dakota,38,Cass,17,Scheels Arena,
05jul2018,Great Falls,Montana,30,Cascade,13,Four Seasons Arena,
31jul2018,Tampa,Florida,12,Hillsborough,57,Florida State Fairgrounds,
02aug2018,Wilkes-Barre,Pennsylvania,42,Luzerne,79,Mohegan Sun Arena at Casey Plaza,
04aug2018,Lewis Center,Ohio,39,Delaware,41,Olentangy Orange High School,
21aug2018,Charleston,West Virginia,54,Kanawha,39,Charleston Civic Center,
30aug2018,Evansville,Indiana,18,Vanderburgh,163,Ford Center,
06sep2018,Billings,Montana,30,Yellowstone,111,MetraPark Arena,
20sep2018,Las Vegas,Nevada,32,Clark,3,Las Vegas Convention Center,
21sep2018,Springfield,Missouri,29,Greene,77,JQH Arena,
29sep2018,Wheeling,West Virginia,54,Ohio,69,WesBanco Arena,
01oct2018,Johnson City,Tennessee,47,Washington,179,Freedom Hall,
02oct2018,Southaven,Mississippi,28,DeSoto,33,Landers Center,
04oct2018,Rochester,Minnesota,27,Olmsted,109,Mayo Civic Center,
06oct2018,Topeka,Kansas,20,Shawnee,177,Kansas Expocentre,
09oct2018,Council Bluffs,Iowa,19,Pottawattamie,155,Mid-America Center,
10oct2018,Erie,Pennsylvania,42,Erie,49,Erie Insurance Arena,
12oct2018,Lebanon,Ohio,39,Warren,165,Warren County Fairgrounds,
13oct2018,Richmond,Kentucky,21,Madison,151,Alumni Coliseum,
18oct2018,Missoula,Montana,30,Missoula,63,Minuteman Aviation,
19oct2018,Mesa,Arizona,4,Maricopa,13,International Air Response,
20oct2018,Elko,Nevada,32,Elko,7,Mountain West Aviation,
22oct2018,Houston,Texas,48,Harris,201,Toyota Center,
24oct2018,Mosinee,Wisconsin,55,Marathon,73,Central Wisconsin Airport,
26oct2018,Charlotte,North Carolina,37,Mecklenburg,119,Bojangles' Coliseum,
27oct2018,Murphysboro,Illinois,17,Jackson,77,Southern Illinois Airport,
31oct2018,Fort Myers,Florida,12,Lee,71,Hertz Arena,
01nov2018,Columbia,Missouri,29,Boone,19,Columbia Regional Airport,
02nov2018,Huntington,West Virginia,54,Cabell,11,Tri-State Airport,
02nov2018,Indianapolis,Indiana,18,Marion,97,Southport High School,
03nov2018,Pensacola,Florida,12,Escambia,33,Pensacola International Airport,
03nov2018,Belgrade,Montana,30,Gallatin,31,Bozeman Yellowstone International Airport,
04nov2018,Chattanooga,Tennessee,47,Hamilton,65,McKenzie Arena,
04nov2018,Macon,Georgia,13,Bibb,21,Middle Georgia Regional Airport,
05nov2018,Fort Wayne,Indiana,18,Allen,3,Allen County War Memorial Coliseum,
05nov2018,Cleveland,Ohio,39,Cuyahoga,35,I-X Center,
05nov2018,Cape Girardeau,Missouri,29,Cape Girardeau,31,Show Me Center,
26nov2018,Biloxi,Mississippi,28,Harrison,47,Mississippi Coast Coliseum,
26nov2018,Tupelo,Mississippi,28,Lee,81,Tupelo Regional Airport,
11feb2019,El Paso,Texas,48,El Paso,141,El Paso County Coliseum,
28mar2019,Grand Rapids,Michigan,26,Kent,81,Van Andel Arena,
27apr2019,Green Bay,Wisconsin,55,Brown,9,Resch Center,
08may2019,Panama City Beach,Florida,12,Bay,5,Aaron Bessant Park Amphitheater,
20may2019,Montoursville,Pennsylvania,42,Lycoming,81,Williamsport Regional Airport,
18jun2019,Orlando,Florida,12,Orange,95,Amway Center,
17jul2019,Greenville,North Carolina,37,Pitt,147,Williams Arena,
01aug2019,Cincinnati,Ohio,39,Hamilton,61,U.S. Bank Arena,
15aug2019,Manchester,New Hampshire,33,Hillsborough,11,SNHU Arena,
